tmdb_id,name,headquarters,homepage,logo_path,origin_country
114247,YouTube,"San Bruno, California",https://www.youtube.com,https://image.tmdb.org/t/p/original/kgZDD6zGSEH6zOq0d6BNUy2hdWK.png,US
112425,Perfect Storm Film,"Gangnam, Seoul, South Korea",,https://image.tmdb.org/t/p/original/2y7W6sMH5AtKjKnPDWJzKv1J4Xx.png,KR
3965,Taewon Entertainment,"Gangnam, Seoul",http://www.taewon.com/81,https://image.tmdb.org/t/p/original/jJDiZYbl3Cf6qzMPbmsfSr9aEvI.png,KR
147395,Arc Media,"Mapo, Seoul, South Korea",http://www.arc-media.net/,https://image.tmdb.org/t/p/original/kAEJFoXRVb6HfC9AxZ9NVbgWEDH.png,KR
170305,Covenant Pictures,,,,KR
86764,Oh!Boy Project,"Jung, Seoul, South Korea",,,KR
142033,BH Entertainment,"Gangnam, Seoul, South Korea",https://bhent.co.kr/,https://image.tmdb.org/t/p/original/vDS74hixWNnaPQxJPN1a24ilsFT.png,KR
182506,Shotcake,,,,
88186,Curo Holdings,"Gangnam, Seoul, South Korea",http://www.curoholdings.com/,,KR
97551,NAVER,"Seongnam, Gyeonggi, South Korea",https://www.navercorp.com/,https://image.tmdb.org/t/p/original/u6tba811VId34gzkchYkFueECOF.png,KR
168322,WEMAD,,,,KR
32393,KBS Films,,,,
70599,Chorokbaem Media,"Gangnam, Seoul",http://www.chorokbaem.com/main/ko/index.html,,KR
180056,Studio Wavve,,,,KR
175015,KBS2,,,,
87007,Happy Movies,,,,IN
116362,Ace Factory,"Seongdong, Seoul, South Korea",,,KR
159824,Contents Wavve,"Yeongdeungpo, Seoul, South Korea",https://www.wavve.com/customer/company.html,https://image.tmdb.org/t/p/original/aorsHr6fixTfkQxQd3WcGqoazOO.png,KR
136382,Imagine Asia,,,,
10675,Pan Entertainment,"Mapo, Seoul, South Korea",http://www.thepan.co.kr/,,KR
19005,GnG Production,,,,
56797,Kim Jong-hak Production,"Gangnam, Seoul, South Korea",http://kjhpro.com/,,KR
114519,Merry Christmas,"Gangnam, Seoul, South Korea",,https://image.tmdb.org/t/p/original/omfLDgUXKmXly7T7bWBpKstq3HP.png,KR
87823,Godin Media,,,,
168284,Wysiwyg Studios,,http://www.wswgstudios.com/about/index.jsp,,KR
140163,watcha,"Seocho, Seoul, South Korea",https://watcha.team/,https://image.tmdb.org/t/p/original/q67Iyada586WNxPdADWT47TCrWO.png,KR
172530,Red Q,,https://www.youtube.com/channel/UCgPkdHArMPS2F8LjUrBKXqw,,KR
122699,iQIYI Pictures,,,,CN
57494,CMG Chorokstars,,,,
44337,YG Entertainment,"Mapo, Seoul, South Korea",http://www.ygfamily.com/,https://image.tmdb.org/t/p/original/iwhtnZBonWETPISDFB1DDWplSzA.png,KR
10464,Korea Educational Broadcasting System (EBS),"Goyang, Gyeonggi, South Korea",http://about.ebs.co.kr/kor/main/index,https://image.tmdb.org/t/p/original/bibwqB8U1QGwotLpX4QL4dvisxG.png,KR
167653,Gazi Contents,,,,
133206,HIGROUND,"Mapo, Seoul",http://www.higround.co.kr/,,KR
8881,Zak Productions,,,,
60778,Yoon's Color,,,,
140692,Baram Pictures,"Mapo, Seoul, South Korea",,,KR
127541,Climax Studios,"Gangnam, Seoul",,https://image.tmdb.org/t/p/original/Aq35mXuZv7lhPm8a60YKRaB9Vek.png,KR
113206,Celltrion Entertainment,"Seocho, Seoul, South Korea",http://www.dreamenm.com/,https://image.tmdb.org/t/p/original/wnsT1H4ofxm3YOO12lAUOr8edX.png,KR
167756,May Queen Pictures (KR),,,,
126602,See At Film,"Seongbuk, Seoul, South Korea",,,KR
114517,Artist Company,"Gangnam, Seoul, South Korea",http://www.artistcompany.co.kr,https://image.tmdb.org/t/p/original/6sbBRmXRa1hGrnNINwxKp34hfya.png,KR
168320,npio Entertainment,"Gangnam, Seoul, South Korea",https://www.npioe.com/,https://image.tmdb.org/t/p/original/mihLDkfhnhIWrFKlRBi4N1f0YJZ.png,KR
11073,Sony Pictures Television Studios,"Culver City, California",http://www.sonypicturestelevision.com/,https://image.tmdb.org/t/p/original/aCbASRcI1MI7DXjPbSW9Fcv9uGR.png,US
12620,Fantagio,"Gangnam, Seoul, South Korea",http://www.fantagio.kr/,,KR
84678,BA Entertainment,Seoul,http://www.baent.co.kr,https://image.tmdb.org/t/p/original/8pjrX8L669kQUdCqCCpv3uWOSBC.png,KR
82139,Olive 9,,,,
20580,Amazon Studios,"Santa Monica, California",https://studios.amazon.com/,https://image.tmdb.org/t/p/original/oRR9EXVoKP9szDkVKlze5HVJS7g.png,US
121445,JP E&M,,,,
3341,Fuji Television Network,"Minato, Tokyo",https://www.fujitv.co.jp/en/,https://image.tmdb.org/t/p/original/dTG5dXE1kU2mpmL9BNnraffckLU.png,JP
168465,Mimi World,,,,
87043,Megaphone,,,,KR
109895,Oasis Pictures,,,,
168965,Tooniverse,"66 Sangamsan-ro, Sangam-dong, Mapo-gu, Seoul, South Korea",http://tooniverse.tving.com/tooniverse,https://image.tmdb.org/t/p/original/vKqLXn5sLe0tQRyVNmZSH37FWqj.png,KR
87080,U-Story9,,,,
69265,Studio Comet,"Toyotamanaka, Nerima, Tokyo, Japan",http://st-comet.com/,https://image.tmdb.org/t/p/original/bJV4hXQ45N9A8FMvBeVTdWHVx5f.png,JP
172171,PH E&M,,,,
144923,Production KEZR,,,,KR
126207,H house,,,,KR
7036,CJ Entertainment,"Mapo, Seoul, South Korea",http://www.cj-entertainment.com,https://image.tmdb.org/t/p/original/javbyY0ZCvlFJtly3tpZqf2NwLX.png,KR
115541,UFO Production,"Gangnam, Seoul, South Korea",http://www.ufopd.co.kr/,,KR
134892,AbemaTV,"Abema Towers, 40-1 Utagawa, Shibuya, Tokyo, 〒150-0042, Japan",https://abematv.co.jp/,https://image.tmdb.org/t/p/original/22MywpER0mpTWudpbLRmDUsrELH.png,JP
115631,MYSTIC STORY,"Yongsan, Seoul, South Korea",http://www.mystic89.net/,https://image.tmdb.org/t/p/original/jEhWNgB1AX2ivucv38dKQ8HhcbY.png,KR
168924,Red Nine Pictures,,,https://image.tmdb.org/t/p/original/xbhvC0cvE5X0t17quvfXmWKPxFb.png,KR
165738,Synergy Media,,,,
139214,Kakao Entertainment,"Gangnam, Seoul",https://kakaoent.com/,https://image.tmdb.org/t/p/original/1aHsO2tVEdJfIBYCy0G4VpWYDY8.png,KR
115705,SBS Plus,"Mapo, Seoul, South Korea",http://sbsplus.sbs.co.kr,https://image.tmdb.org/t/p/original/yxTp5v8XKaBYvjHW6X5AMExEpV6.png,KR
125510,SOO NOT SUE studio,,https://www.youtube.com/channel/UCkbF5QX9LQGQf7T26ZxEspA,https://image.tmdb.org/t/p/original/2rwnprSf1KxXQCjGX2PmmK43yHK.png,KR
118088,Urban Works Entertainment,,,,
169656,H& Entertainment,,,,KR
26559,NBCUniversal,"New York City, New York, United States",http://www.nbcuniversal.com/,https://image.tmdb.org/t/p/original/n4WUzEMiLm9TiE3Lzi7D08vQtqj.png,US
86981,SLL,"Mapo, Seoul, South Korea",https://www.jtbcstudios.com/,https://image.tmdb.org/t/p/original/8FwCT7KohE031xFLBeRMZlbuzSr.png,KR
36220,Hwa and Dam Pictures,"Gangnam, Seoul, South Korea",,https://image.tmdb.org/t/p/original/dl126JiEUyhdLOhoN6thM9vI26B.png,KR
126405,Production H,,,,KR
38369,Seoul Broadcasting System,"Yangcheon, Seoul, South Korea",https://www.sbs.co.kr,https://image.tmdb.org/t/p/original/uHQFPvRTlpgaIFQVN8eKWEnFOll.png,KR
115714,Story & Pictures Media,"Jongno, Seoul",,,KR
158750,Gold Medalist,,,,
65083,DSP Media,,,,KR
124754,Culture Depot,"Yongsan, Seoul, South Korea",http://www.culturedepot.kr/,https://image.tmdb.org/t/p/original/gnuXrjplOgln5rYNzfCS8j6SYs7.png,KR
160238,Hardcut,,,,KR
168963,CNK International,"North Gyeongsang Province, South Korea",http://www.cnkinternational.co.kr/,,KR
63475,Free Will Company,,,,
161312,ateod,,,,
147214,HiSTORY D&C,,,,
101322,Yein E&M,,,,
167429,tvN D,,,,
133335,Studio 329,"Seongdong, Seoul, South Korea",http://www.studio329.net,,KR
57289,Eight Works,"Gangnam, Seoul, South Korea",http://www.curoholdings.com/index.php,,KR
181097,JAYE ENTERTAINMENT,"501 708, Yeongdong-daero, Gangnam-gu, Seoul, Korea",http://www.jaye.co.kr,,KR
122255,Blossom Story,,,,KR
170948,NHN Bugs,"Bundang, Seongnam, Gyeonggi, South Korea",http://www.bugscorp.co.kr/,https://image.tmdb.org/t/p/original/dudHIsm78xziTNmlWoaLZQ3w6fG.png,KR
15975,KEYEAST,"Gangnam, Seoul",http://www.keyeast.co.kr,https://image.tmdb.org/t/p/original/ewSxMJt8IeFHSOqfyKn1scZoOur.png,KR
90935,JTBC,"Mapo, Seoul, South Korea",http://jtbc.joins.com/,https://image.tmdb.org/t/p/original/44I4aVlasm8Blb8WPGXTkMYuZJF.png,KR
124345,REALTHING,,,,
99228,The Unicorn,,,,KR
154304,Number 3 Pictures,,,,KR
63013,Curtain Call Media,,,,
138782,W-STORY Channel,,http://www.w-story.kr,https://image.tmdb.org/t/p/original/hQXJ79aRXkDaBSb1CDFFEIjEOpm.png,KR
172185,DramaHouse,"Mapo, Seoul, South Korea",http://www.dramahouse.co.kr/,https://image.tmdb.org/t/p/original/u89w62EzN9WxzSxFEfHaZ09LXc7.png,KR
147142,Blaad Studio,"Seocho, Seoul",,,KR
112647,Siren Pictures,"Goyang, Gyeonggi, South Korea",,,KR
26511,MBC,"Mapo, Seoul, South Korea",http://imbc.com/,https://image.tmdb.org/t/p/original/muK9W0KLV8KfEnR7MYu0YpfpdnO.png,KR
61641,Kangho Production,,,,
10754,K.B.S. Productions Inc.,,,,US
