,tmdb_id,name,place_of_birth,deathday,gender,known_for_department,popularity,profile_img_url,birthday_dt,year,month,weekday
3065,1347516,Im Jae-beom,"Goyang, Gyeonggi, South Korea",,2.0,Acting,1.96,https://image.tmdb.org/t/p/original/7Sc7nbS8UAy8RwVFH3mIqbYsCyH.jpg,1994-01-06,1994.0,1.0,3.0
3066,3244654,Kang Hae-lim,,,1.0,Acting,1.176,https://image.tmdb.org/t/p/original/2B9eXXnEWuAhCJOWsU6WtYfotK5.jpg,1996-04-01,1996.0,4.0,0.0
3067,3279192,Kim Gwi-seon,,,2.0,Acting,0.6,,,,,
3068,2604508,Park Yeon Woo,South Korea,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/zGkN7hdTigYlWM6PU7CvwNuwNl2.jpg,,,,
3069,1246516,Yeo Un-gye,"Daegu, South Korea",2009-05-29,1.0,Acting,1.485,https://image.tmdb.org/t/p/original/uEOPb2argdTGCkz9UafWJM6x73e.jpg,1940-02-25,1940.0,2.0,6.0
3070,109646,Yoon Ji-hye,South Korea,,1.0,Acting,2.879,https://image.tmdb.org/t/p/original/7zePMNGe149OzzsyVCdL0Mx1dT2.jpg,1979-11-10,1979.0,11.0,5.0
3071,1029185,Jeong Yu-Mi,"Busan, South Korea",,1.0,Acting,3.179,https://image.tmdb.org/t/p/original/taYOKGKxyYDffqbC5eJbbuV9sQL.jpg,1984-02-23,1984.0,2.0,3.0
3072,1478009,Joo Ah-sung,,,,Acting,0.84,,1982-12-13,1982.0,12.0,0.0
3073,2142252,Jung Jae-won,"Seoul, South Korea",,2.0,Acting,1.277,https://image.tmdb.org/t/p/original/luhNfvCsnsoWir1bRcZ2uSkfZXj.jpg,1994-03-29,1994.0,3.0,1.0
3074,2732484,Jeong Jin-sol,"Seoul, South Korea",,1.0,Acting,0.6,https://image.tmdb.org/t/p/original/iQnGO20GPn8qPwZchFl1fcBMDqa.jpg,1997-06-13,1997.0,6.0,4.0
3075,1470219,Doh Kyung-soo,"Goyang, Gyeonggi, South Korea",,2.0,Acting,4.538,https://image.tmdb.org/t/p/original/gWWvDiecz99b7FPJnWUdu2NZO0p.jpg,1993-01-12,1993.0,1.0,1.0
3076,1252016,Moon Ga-young,"Karlsruhe, Germany",,1.0,Acting,12.746,https://image.tmdb.org/t/p/original/plcDpyV50h3uooOCXkOlcIVwDu0.jpg,1996-07-10,1996.0,7.0,2.0
3077,3218480,Roh Yoon-seo,,,1.0,Acting,6.005,https://image.tmdb.org/t/p/original/A67wGhTozfav5saZ1Umi5f98Ezb.jpg,2000-01-25,2000.0,1.0,1.0
3078,1681218,Park Sung-Keun,,,,Acting,0.6,,,,,
3079,1875647,Kim Do-yeon,"Incheon, South Korea",,1.0,Acting,0.96,https://image.tmdb.org/t/p/original/A0URbXYB7AhP2q8POjqpvkrGr7W.jpg,1999-12-04,1999.0,12.0,5.0
3080,1875829,Kim Na-yun,"Seoul, South Korea",,1.0,Acting,1.618,https://image.tmdb.org/t/p/original/xO8RxM8fZY8pfF3rFRz39zCDMPE.jpg,1998-07-31,1998.0,7.0,4.0
3081,2431098,Geum Gwang-san,"Jeju, South Korea",,2.0,Acting,0.661,https://image.tmdb.org/t/p/original/tReNO2hAgI6UVp9iSCL1dLjq4tw.jpg,1976-05-14,1976.0,5.0,4.0
3082,1985542,Kim Ga-hee,,,1.0,Acting,2.269,https://image.tmdb.org/t/p/original/4CVlkdL5QBRMoUsJF5yNkQ18uK.jpg,1992-06-02,1992.0,6.0,1.0
3083,1491887,Kim Ki-Nam,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/lhDPjQhAxGIzxnxsPJFJnvtiWz6.jpg,1982-07-27,1982.0,7.0,1.0
3084,1687940,Ji Yun-ho,,,2.0,Acting,1.4,,1991-03-16,1991.0,3.0,5.0
3085,2030772,Lee Hye-Ran,,,,Acting,1.69,https://image.tmdb.org/t/p/original/yZ9ymUX03WVht4Kzr586eaKLVKc.jpg,,,,
3086,1253552,Ji Hyun-woo,"Seoul, South Korea",,2.0,Acting,2.423,https://image.tmdb.org/t/p/original/l1lYtxhYCNBBSOSU5gMZaqvQDKX.jpg,1984-11-29,1984.0,11.0,3.0
3087,1233632,Yoon Eun-hye,"Seoul, South Korea",,1.0,Acting,7.038,https://image.tmdb.org/t/p/original/z4RWkQehAuWF3GMHlSQLLXNtfKo.jpg,1984-10-03,1984.0,10.0,2.0
3088,1082688,Lee Hyeon-woo,"Seoul, South Korea",,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/9qWHlv6cgCHHxEUyRkT30xjBRYR.jpg,1966-03-06,1966.0,3.0,6.0
3089,3288693,Kim Kyung-il,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/lv0lZN9mq6punqsWIQbdACy91un.jpg,1984-04-06,1984.0,4.0,4.0
3090,1010892,Kim Jae-in,,,1.0,Acting,1.96,https://image.tmdb.org/t/p/original/nMru8qwSOHed0jj7s7bRQmXFG8c.jpg,1983-01-30,1983.0,1.0,6.0
3091,126881,Gong Hyo-jin," Seoul, South Korea",,1.0,Acting,5.643,https://image.tmdb.org/t/p/original/hM5yRtYzL19TpskQDNmFUWruJDV.jpg,1980-04-04,1980.0,4.0,4.0
3092,2341408,Lee Do-hyun,"Goyang, Gyeonggi, South Korea",,2.0,Acting,3.685,https://image.tmdb.org/t/p/original/6ZWE4UK4GJetyyJj68uiykE9yID.jpg,1995-04-11,1995.0,4.0,1.0
3093,1295464,Kim Bo-mi,"Suwon, Gyeonggi, South Korea",,1.0,Acting,2.391,https://image.tmdb.org/t/p/original/haanESAO26NpYIUcIUGqD7Sr3XM.jpg,1987-05-15,1987.0,5.0,4.0
