,tmdb_id,name,cast_ids,genres_ids,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,networks_ids,airing_date_dt,year,month,weekday
1042,59789,Partner,"232599, 1238592, 1364528, 1107788, 551682, 118976, 138527, 87762, 1246906, 64454, 1239677, 123339, 587632, 1123505",18,1.0,16.0,70.0,"""Partner"" centers around two law firms as they struggle to defend the accused and those around them. Kang Eun-ho, a widowed single mother & attorney, tangles with the charismatic and ruthless attorney Lee Tae-jo.

In the first two episodes the attorneys work on cases involving a step-brother chraged with murdering of his step-sister and a lawsuit between a wealthy mother-in-law and her divorced daughter-in-law.

Each successive episode will cover provocative cases like these, while also bringing to light the charms of the attorneys and their daily lives.",3.194,6.0,1.0,,342,2009-06-24,2009.0,6.0,2.0
1043,46577,Manny,"20263, 123020, 572519, 1556940, 1605872","35, 18",1.0,16.0,50.0,"Manny is a 2011 South Korean romantic comedy television series, starring Suh Ji-suk, Choi Jung-yoon, Byun Jung-soo and Jung Da-bin. It aired on tvN from April 13 to June 2, 2011 for 16 episodes.

Tall, with a perfect figure and his qualifications as an Ivy League graduate, Kim Yi Han is Seoul's top male nanny. He is employed by Seo Do Young as a live-in nanny to look after her two young children, Eun Bi and Jung Min.",1.646,,,,,2011-04-13,2011.0,4.0,2.0
1044,14175,Beautiful Days,"62333, 1237912, 25002, 1244822, 116175, 1244876, 132148, 1249786, 1252343",18,1.0,24.0,80.0,"Beautiful Days is a 2001 South Korean television drama series starring Lee Byung-hun, Choi Ji-woo, Ryu Shi-won and Lee Jung-hyun. It aired on SBS from March 14 to May 31, 2001 on Wednesdays and Thursdays at 21:55 for 24 episodes.",1.638,7.0,2.0,,156,2001-03-14,2001.0,3.0,2.0
1045,40537,Live In Style,"1286419, 1015873, 1243895, 1510020, 118667, 1255881, 1632258, 1601721",18,1.0,50.0,70.0,,1.636,,,,156,2011-09-17,2011.0,9.0,5.0
1046,92512,Medical Gibang Cinema,"1348579, 564861, 227426, 1191491, 1548922, 1755036, 1420442",18,1.0,10.0,60.0,"The story revolves around three gisaeng (Korean geishas) who specialize in sex therapy, with offering sex as the preferred treatment method. Their clients range from a high-profile royalty (a crowned prince who reveals a peculiar sexual dysfunction) to other prominent figures who suffer from impotence and low libido.",3.66,,,,627,2007-11-20,2007.0,11.0,1.0
1047,107393,Twenty-Twenty,"2496632, 2396068, 2990974, 3276709, 2595111, 3236410, 2033111, 3459596",18,1.0,20.0,20.0,"Set me free. Many say twenty years old is the beginning of the new chapter, but not for Da Hee. She was still under her mom's guidance. Da Hee, 20 years old, starts to become defiant. She wants to live as herself, not the daughter of her mom. Just a more step to cross the boundary. Da Hee who just became an adult tries to make her first step further.",2.717,5.167,3.0,,"885, 1152",2020-08-15,2020.0,8.0,5.0
1048,35448,Kim Soo Ro,"132180, 1254974, 1094648, 80654, 127708, 1257613, 1352803, 1240217, 551682, 42795, 1254424","18, 10759",1.0,32.0,70.0,"This drama charts the life of Kim Soo Ro, legendary founder of Geumgwan Gaya, the ruling city-state of the Gaya confederacy, which dominated sea trade and iron working during the Three Kingdoms Period. Kim Soo Ro's fiery temperament, charisma and intelligence are his only defense in the extended political struggle, with competition for the throne from his half-brother and lifelong rival, Ijinashi, his former friend Suk Tal Hae, and the dangerous ambitions of Shin Kwi Gan.",3.783,8.8,4.0,,97,2010-05-29,2010.0,5.0,5.0
1049,48705,A Hundred Year Legacy,"105410, 64497, 1258630, 1235476, 80656, 229947, 96632, 1487437, 118667, 1753985","10751, 18",1.0,50.0,75.0,A warm-hearted family drama about a three-generation family and their noodle factory that they operate in the outskirts of Seoul.,2.188,8.0,1.0,,97,2013-01-05,2013.0,1.0,5.0
1050,54619,Pots of Gold,"1244801, 127710, 1251075, 1234180, 1552872, 1632316, 2835108","18, 35, 10751",1.0,50.0,70.0,"The drama explores love, marriage and divorce through a case of mistaken identity, while making good-humored fun of a middle class family and their pretensions.",3.766,,,,97,2013-04-06,2013.0,4.0,5.0
1051,98764,Hello Dracula,"1471054, 2522715, 2480883, 145999, 1671006, 126743",18,1.0,2.0,70.0,"Three neighbors face problems they want to avoid, but they grow facing their dilemmas. Anna lives with her mother and lives her life following her mother's wishes, but she has a secret she can't tell anyone.  Yoo Ra and her family need to leave their neighborhood due to a reurbanization project in the area where they live.  Seo Yeon is the vocalist of an indie band. She's very superstitious, and she can't get over her ex-boyfriend, who broke up with her a year ago.",3.291,9.0,4.0,,885,2020-02-17,2020.0,2.0,0.0
1052,36293,Ireland,"123408, 84786, 544107, 1257594",18,1.0,16.0,,"Ireland is a 2004 South Korean television series starring Lee Na-young, Kim Min-joon, Kim Min-jung and Hyun Bin. It aired on MBC from September 1 to October 21, 2004 on Wednesdays and Thursdays at 21:55 for 16 episodes.",1.61,,,,97,2004-09-02,2004.0,9.0,3.0
1053,14184,Sweet Spy,"87890, 1238855, 1527159, 1686202, 1238646, 1257619, 87897","10759, 18, 35",1.0,20.0,60.0,"Nam Sang-mi plays widowed police officer Lee Sun-ae who finds herself  suddenly immersed into international espionage by Han Yoo-il, an undercover agent. Kang-Jun has recently transferred to the Criminal  Investigation Department. He opens an old case involving Sun-ae's past  that leads him to an entanglement between the current political/economic  powers and their secrets. One of them, oddly enough, being Han Yoo-il.  Who is this man? Why is he here?",3.434,10.0,1.0,,97,2005-11-07,2005.0,11.0,0.0
1054,43945,Syndrome,"1489755, 939138, 64453, 930417, 69699, 1004565, 147851, 2249272, 1686201","18, 10749",1.0,20.0,70.0,"Syndrome is a 2012 South Korean medical drama series, starring Han Hye-jin, Song Chang-eui and Park Gun-hyung. It is set in the world of neurosurgery where a medical student finds herself in a love triangle with two fellow doctors. The television series aired on jTBC from February 13 to April 17, 2012 on Mondays and Tuesdays at 21:55 for 20 episodes.",3.732,7.5,2.0,,885,2012-02-13,2012.0,2.0,0.0
1055,14452,Prince Hours,"1245099, 1245100, 1245101, 1238981, 1156197, 125734","18, 35",1.0,20.0,60.0,"The story set in a universe where South Korea is a constitutional monarchy. The Empress regnant, already in her thirties, is still unmarried and without an heir, which prompts the imperial court to look for a suitable Crown Prince. They encounter Lee Hoo, the son of the empress' uncle, and brings him into the palace where he begins to learn the life of a royal. However, another competitor arrives at the court: Lee Joon, the son of another uncle of the Empress. They compete for the title of Crown Prince via a trial of several tasks to determine the worthy future Emperor of the country.",3.71,5.7,3.0,,97,2007-01-10,2007.0,1.0,2.0
1056,30735,Dream,"17122, 138114, 1354108, 64499, 77188, 125734, 587675, 1499975, 1342876, 1519279, 150697","18, 10749",1.0,20.0,60.0,"Dream is a 2009 South Korean television series that follows the lives of a sports agent and K-1 fighters. Starring Joo Jin-mo, Kim Bum and Son Dam-bi, it aired on SBS from July 27 to September 29, 2009 on Mondays and Tuesdays at 21:55 for 20 episodes.",2.93,8.0,1.0,,156,2009-07-27,2009.0,7.0,0.0
1057,52722,Secret Campus,"3610449, 3610434, 1245104, 83036, 3610451, 3610443, 1137334, 3610452, 2438093, 1029192","18, 9648",1.0,24.0,40.0,"Modern students experience considerable stress during their school years; there is a strong focus on positive presentation and personality, as well as achieving good grades and encouraging athleticism. These demands are made without considering each student's individuality and strengths. This school-centered drama discusses the central theme outlined above and depicts the lives and relationships of six high school students— Moon Seung-jae, Oh Soo-ah, Park Doo-hyun, Cha Ah-rang, Yoon Se-in, Seo Jin-woo — each of whom has different dreams and goals which they struggle to achieve, despite trials and tribulations.",3.398,,,,1796,2006-05-10,2006.0,5.0,2.0
1058,37396,Queen of the Game,"17122, 1238990, 1401531, 68464, 1267859, 1079581, 118667",18,1.0,20.0,60.0,,2.648,,,,156,2006-11-25,2006.0,11.0,5.0
1059,130014,Genesis,"1244834, 1523043, 1547209, 1295461, 127566, 553237, 572519, 1164499, 2643561, 2056902, 1736362, 2776202, 138527","9648, 18",1.0,6.0,52.0,A man who digs into his mother's mysterious death meeting humans with the same faces as him one by one and becoming embroiled in a bigger conspiracy.,2.628,5.0,1.0,,"3561, 3612, 5208, 5209",2021-06-18,2021.0,6.0,4.0
1060,23410,Shin Don,"1235476, 127708, 1233712, 145999",18,1.0,66.0,60.0,"In order to make sure that Koryo was free, Gong Min Wang married a woman he did not love. The Mongolians ruled Koryo so Gong Min Wang married the Mongolian princess in hopes that one day Koryo could be freed. Shin Don was a Buddhist priest who both Queen Nokuk and King Gong Min depended on for advice in ruling Koryo.",3.668,6.0,2.0,,97,2005-09-24,2005.0,9.0,5.0
1061,46581,Secret Investigation Record,"1257600, 1252017, 1257634, 1222431, 509648","9648, 18",1.0,12.0,,,2.598,10.0,1.0,,,2010-08-20,2010.0,8.0,4.0
1062,66580,Jeong Do Jeon,"64453, 1253448, 80656, 1248595, 87784, 548071, 1348579, 1621305",18,1.0,50.0,50.0,"Set between late Koryo Dynasty and early Choson Dynasty period. Jung Do-Jeon plans for the new country of ""Choson"" and new culture as an influential advisor to King Taejo. Jung Do-Jeon resistance among those that want to keep Koryo.",3.636,8.0,2.0,,829,2014-01-04,2014.0,1.0,5.0
1063,56896,Dangerous Women,"1349366, 1239675, 552071, 578818, 548070, 573791",18,1.0,123.0,40.0,"Dangerous Women is a 2011 South Korean television series starring Go Eun-mi, Hwang Bo-ra, Kim Jung-hyun, and Yeo Hyun-soo. The morning soap opera aired on MBC on Mondays to Fridays at 7:50 a.m. from October 10, 2011 to March 30, 2012 for 124 episodes.",3.39,,,,97,2011-10-10,2011.0,10.0,0.0
1064,92930,Tong: Memories,"1615316, 1680316, 1101359, 1680318, 1678530, 1823605","10759, 18",1.0,12.0,12.0,A tough young man with a short temper and no patience for bullies gains a legendary reputation as the best street fighter in Busan.,1.674,7.0,1.0,,2745,2016-07-22,2016.0,7.0,4.0
1065,201927,Love in Spring,"3548739, 2074114",18,1.0,16.0,25.0,"Jin Geum Seong is a poor nobleman who lives with his mother and making ends meet is challenging. While gathering wood on the mountain, he spies a woman swimming nearby. Believing she is about to take her life, he creates a disturbance allowing him to save Choi Hye Seong, the third daughter of Choi Jin Sa. Only things are not as they seem when she turns out to be a man named 'Salbyul,' Love will bloom between Hye Seong and Geum Seong, much like a flower on a warm spring day.",2.281,,,,3898,2022-05-18,2022.0,5.0,2.0
1066,43331,Paradise Ranch,"1255918, 126880, 1261196, 139502, 1348599, 1267859, 1239677, 87090, 1686201, 1234183, 1893544, 551171, 2036027, 2125738","35, 18",1.0,16.0,70.0,A divorced couple who married when they were 19 meet six years later and rediscover their feelings for each other.,2.417,10.0,1.0,,156,2011-01-24,2011.0,1.0,0.0
1067,61721,Mr. Back,"25004, 1234280, 1257963, 992630, 428960, 1239675, 20264, 994300, 1624590","18, 35",1.0,16.0,60.0,"Mr. Baek is a successful hotelier who's more interested in hoarding his money than in enjoying his golden years. But in a strange turn of events, this classic scrooge gets a second chance at life when he wakes up as a younger version of himself (Shin Ha Kyun). With no way to prove his identity, Mr. Baek must enter his own company as a rookie and is forced to work his way up once again. With precious little time, Mr. Baek is given the opportunity to take stock of his life — and to give love a chance.",3.581,7.0,1.0,,97,2014-11-05,2014.0,11.0,2.0
1068,69156,Game Development Girls,"1551424, 1724575, 1573923, 1713025, 1701993, 566373, 1420814","35, 18",1.0,11.0,7.0,A drama based on a webtoon which depicts and builds a connection through the story of young women who work at a mobile game company.,2.2,8.5,2.0,,1152,2016-07-25,2016.0,7.0,0.0
1069,97041,How Are U Bread,"1257142, 1676285, 1573093, 1737904, 1307134, 1721768, 1628231, 1293368, 1376551",18,1.0,10.0,20.0,"A love story between Ha Do-woo, a genius patissier, and Noh Mi-rae, a variety show writer. Han Do-Woo is a mysterious and excellent pastry chef. Every morning at a mysterious bakery, he makes bread to grant wishes. To have Han Do-Woo make an appearance on a TV show, screenwriter No Mi-Rae infiltrates the bakery.",2.554,10.0,1.0,,"1390, 3612",2020-01-17,2020.0,1.0,4.0
1070,72800,Man Who Dies to Live,"127798, 235338, 1335825, 1239251, 1596584, 77182, 1106149, 2033111","35, 18, 10751",1.0,24.0,30.0,"In the late 1970's, Jang Dal-Goo went to the Middle East and settled down in the small kingdom. He became Count Souad Fahd Ali and found success there, but he returns to South Korea to find his daughter. He appears in front his daughter Lee Ji-Young and his son-in-law Kang Ho-Rim.

Lee Ji-Young has a positive personality and her dream is to have a happy family and become a writer. Kang Ho-Rim has a great looking appearance and works as an ordinary salaryman.",3.571,8.2,4.0,,97,2017-07-19,2017.0,7.0,2.0
1071,18468,Loveholic,"1138822, 1246931, 115290, 1222951, 1253444, 553706, 1239245, 1256493, 1310821, 586010, 77057",18,1.0,16.0,70.0,"Loveholic is a 2005 South Korean television series starring Kangta, Kim Min-sun, Lee Sun-kyun and Yoo In-young. It aired on KBS2 from May 2 to June 21, 2005 on Mondays and Tuesdays at 21:55 for 16 episodes.",1.529,8.0,1.0,,342,2005-05-02,2005.0,5.0,0.0
1072,53720,Hooray for Love,"1238990, 1257606, 1222436, 1094648, 87090, 1540248, 1101372",18,1.0,57.0,,"Hooray for Love is a 2011 South Korean television series starring Lee Bo-young, Lee Tae-sung and Jin Yi-han. It aired on MBC from July 16, 2011 to January 29, 2012 on Saturdays and Sundays at 21:45 for 57 episodes.",3.559,,,,97,2011-07-16,2011.0,7.0,5.0
1073,1677,Love Letter,"145989, 1226340, 87792, 1299358",18,1.0,104.0,60.0,"Love Letter is a 2003 South Korean television series starring Jo Hyun-jae, Soo Ae and Ji Jin-hee. It aired on MBC from February 10 to April 1, 2003 on Mondays and Tuesdays at 21:55 for 16 episodes.

This drama revolves around Lee Woo-jin's conflict between priesthood and his love for childhood friend Eun-ha.",2.537,10.0,1.0,,,2003-02-10,2003.0,2.0,0.0
1074,195745,Cleaning Up,"37939, 126351, 1123145, 1346897, 2935390, 1250036, 25003, 227447, 560081, 1293642, 1497218, 2791231","35, 80, 18",1.0,16.0,60.0,Three cleaning ladies at an investment firm get their hands on insider stock information and hatch a chance on a scheme that could change their lives.,2.137,7.7,3.0,,885,2022-06-04,2022.0,6.0,5.0
1075,124802,The Guilty Secret,"2712923, 2864529, 2864516, 2307878, 3078274",18,1.0,12.0,10.0,"Ji Su takes the first vacation in high school. In the summer class, she told Mi ji secrets that can't be shared with friends from her school. After a hot summer, there was a transfer student in Ji Su's class. It was Mi ji who knows her secrets. This brings big and small events to Jisu and her friends.",2.393,,,,1152,2019-09-08,2019.0,9.0,6.0
1076,63308,Last,"1257592, 86330, 1353829, 79574, 428960, 70338, 566375, 548063, 1889716, 1831103",18,1.0,16.0,63.0,"This drama is based on the webcomic Kang Hyung Kyu. The story centers on Jang Tae Ho, who was once successful, but becomes homeless after failing at a stock operation involving an exorbitant amount in Korea’s stock market. This leads him to face a secretive ranked organization consisting of Seoul’s homeless. Starting from the bottom, he rises up in rank to fight for leadership of the group against the boss who earns money by exploiting the poor homeless people.",3.511,7.8,6.0,,885,2015-07-24,2015.0,7.0,4.0
1077,195743,Recipe for Farewell,"80457, 127706, 2595111, 2526744",18,1.0,12.0,,"Changwook learns to prepare a dish that he has never cooked before and decides to make it himself for his wife, who rarely eats.",2.585,,,1.0,3898,2022-12-01,2022.0,12.0,3.0
1078,137215,IDOL: The Coup,"1834433, 1875691, 1875788, 2784956, 3288635, 1547209, 2933047, 3288637, 2523800, 2919806, 2396062",18,1.0,12.0,72.0,Portrays the last story of “doomed idols” who need a single “success” in order to “disband.” The story of young people who confidently let go of their dreams as they grow through their failures and take courageous steps towards their new goals.,3.493,9.2,5.0,,"885, 1330",2021-11-08,2021.0,11.0,0.0
1079,65841,Page Turner,"235731, 1384687, 1588284, 1106129",18,1.0,3.0,60.0,"Yoo-Seul is a student of an art high school. She is a talented pianist and who won various contests, but she is driven by her mother. Yoo-Seul's mother wanted to become a pianist when she was younger. One day, Yoo-Seul has an accident. Yoo-Seul may never play the again because of the accident. With the help of her friend Cha-Sik and Yoo-Seul's rival Jin-Mok, Yoo-Seul begins to live a new life.",3.473,7.536,14.0,,342,2016-03-26,2016.0,3.0,5.0
1080,130513,The Tasty Florida,"3186373, 3186374, 3186375, 3186376, 3186377",18,1.0,8.0,11.0,"Having just moved in, college freshman Seo Hae Won isn’t sure what to think of the guesthouse he now calls home. With Florida Banjeom, a popular Chinese restaurant, comfortably settled up on the roof, people from far and wide are always running in and out of the building.

But it’s not the constant stream of guests that has Hae Won concerned; it’s the fact that the restaurant’s owner and head chef, Baek Eun Kyu, seems to have a serious problem with him. Having been recommended for a part-time job at the restaurant by Cha Ji Soo, a fellow restaurant owner, Hae Won thought he would easily fit in with the staff; but for some reason Eun Kyu seems to instantly dislike him.  Despite the fact that he can’t figure out why his boss is so bothered by him, Hae Won finds himself fitting in nicely with his fellow staff members, Ha Jin and Joo Seo Hyuk.

What does surprise him is when he realizes that he himself has fallen. But will he ever be able to win the heart of his cold-hearted boss?",2.288,3.9,4.0,,1390,2021-09-24,2021.0,9.0,4.0
1081,5208,Smile Again,"70688, 1233804, 1299479, 232408, 573791, 139498","18, 10749",1.0,16.0,60.0,"Smile Again is a 2006 South Korea television series starring Lee Dong-gun, Kim Hee-sun, Lee Jin-wook and Yoon Se-ah. It aired on SBS from May 17 to July 6, 2006 on Wednesdays and Thursdays at 21:55 for 16 episodes.",2.458,8.0,1.0,,156,2006-05-17,2006.0,5.0,2.0
1082,13733,Something Happened in Bali,"83220, 127564, 932821, 428960, 1257619",18,1.0,20.0,60.0,"Soo Jung grew up poorly with her brother, Jang Soo who’s a walking disaster, after losing both of her parents at a young age. Meanwhile, Jae Min is the son of a conglomerate family, but he’s always been afraid of living under his father’s shadow. He gets engaged to Young Joo, who’s also a daughter of a rich family like him.",2.866,,,,156,2004-01-03,2004.0,1.0,5.0
1083,63738,We Broke Up,"1499985, 591022",18,1.0,10.0,15.0,"""We Broke Up"" tells a story of a couple who happen to live together after their breakup. Sandara Park plays No Woo-ri, a bright and ambitious girl who struggles to land a job while Kang Seung-yoon plays Ji Won-yeong, an indie band’s vocalist who works part time at night. Hyoni Kang will appear as a confident career woman who runs the nation’s top music label, and Cang Ki-yong will play the role of the couple’s college mate.",1.457,7.0,1.0,,1152,2015-06-29,2015.0,6.0,0.0
1084,85479,Drunk in Good Taste,"2302189, 2302190, 1565088, 1128106, 1378121",18,1.0,2.0,70.0,"A sweet campus romance between two first-year college students with the same major, who share a passion for tasty desserts.",1.451,,,,,2018-12-24,2018.0,12.0,0.0
1085,57557,Wang’s Family,"1234183, 93252, 1254981, 551171, 1255548, 145999, 1233841, 1275152, 123808, 1093223, 2283356, 989991, 2150704, 1251348, 118667, 1286419, 1252016","35, 18, 10766",1.0,4.0,,"Wang Subak, the eldest daughter of the Wang family, had married into a wealthy family. But after her husband Ko Minjung goes bankrupt, she and her family have to move back into her parents' home. Second daughter Hobak is also having financial difficulties with her jobless husband Heo Sedal, while third daughter Gwangbak suddenly decides to quit her stable job as a teacher to pursue her dream of becoming a writer. Navigating the pressures of their circumstances will test every member of the family as they struggle to find happiness and love.",1.926,7.5,2.0,,342,2013-08-31,2013.0,8.0,5.0
1086,11358,Goodbye My Love,"87792, 1243254, 70688, 84854, 588209",18,1.0,16.0,,Goodbye My Love was a South Korean television drama series that aired with 16 episodes in 1999.,2.393,9.0,1.0,,97,1999-09-01,1999.0,9.0,2.0
1087,35710,Thousand Years of Love,"586316, 932821, 109645, 138522, 115290","18, 10765",1.0,20.0,60.0,"It was about 1,400 years ago. The story revolves around Princess Buyeu Ju, the Daughter of last king, general Ari who attempts to reconstruct Bakje for the love of the princess, and general Yu Suk Kim from Shila whos after him. When the princess falls into YuSuks trap, she jumps off the cliff and then, the princess leaps through 1400 years and is brought to modern society in 2003. And meets Inchul (Ari) and Tasuji who have no idea of their past lives and creates love fantasy that overcome time and space. ",2.611,,,,156,2003-03-22,2003.0,3.0,5.0
1088,66715,Baek Hee Has Returned,"235338, 93997, 147505, 1191491, 1614018, 1335771","35, 18",1.0,4.0,60.0,Yang Baek-Hee (Gang Ye-Won) returns to the quiet island Sumwol for the first time in 18 years. She has changed her identity.,3.357,8.2,2.0,,342,2016-06-06,2016.0,6.0,0.0
1089,18398,Conspiracy in the Court,"1257606, 1340294, 233437, 96659, 1257611, 147852, 1251241, 64455, 126347, 573794","18, 36, 10749",1.0,8.0,65.0,"Conspiracy in the Court, is a 2007 Korean historical drama broadcast on KBS2. The mystery thriller revolves around a murder case set in Hansung, the capital of Korea during the latter years of the Joseon dynasty when the nation was experiencing a rapid influx of western influences. Featuring a band of newcomers in the leading roles, Conspiracy in the Court entails a story of four young visionary idealists and King Jeongjo, Joseon's popular 22nd monarch who fought for commoners' rights and bureaucratic reformation. Despite low ratings averaging 6.00%, it was lauded for its high standard of content and art direction.",1.429,,,,342,2007-07-09,2007.0,7.0,0.0
1090,119138,Cafe Midnight Season 3: The Curious Stalker,"2983084, 1897018, 1949863","10765, 18",1.0,4.0,15.0,A heart-throbbing coming-of-age story about an 18-year-old high school boy who peeks into the future.,1.426,,,,"2440, 3612",2021-02-19,2021.0,2.0,4.0
